Romania,3/27/2020,26,3,92,"W13, 2020"
Romania,3/28/2020,37,11,133,"W14, 2020"
Romania,3/29/2020,43,6,144,"W15, 2020"
Romania,3/30/2020,65,22,153,"W16, 2020"
Romania,3/31/2020,82,17,172,"W17, 2020"
Romania,4/1/2020,92,10,171,"W18, 2020"
Romania,4/2/2020,115,23,165,"W19, 2020"
Romania,4/3/2020,133,18,103,"W20, 2020"
Romania,4/4/2020,146,13,79,"W21, 2020"
Romania,4/5/2020,151,5,70,"W22, 2020"
Romania,4/6/2020,176,25,64,"W23, 2020"
Romania,4/7/2020,197,21,104,"W24, 2020"
Romania,4/8/2020,220,23,92,"W25, 2020"
Romania,4/9/2020,248,28,122,"W26, 2020"
Romania,4/10/2020,270,22,147,"W27, 2020"
Romania,4/11/2020,291,21,137,"W28, 2020"
Romania,4/12/2020,316,25,155,"W29, 2020"
Romania,4/13/2020,331,15,178,"W30, 2020"
Romania,4/14/2020,351,20,262,"W31, 2020"
Romania,4/15/2020,372,21,294,"W32, 2020"
Romania,4/16/2020,392,20,294,"W33, 2020"
Romania,4/17/2020,411,19,305,"W34, 2020"
Romania,4/18/2020,421,10,306,"W35, 2020"
Romania,4/19/2020,451,30,300,"W36, 2020"
Romania,4/20/2020,478,27,247,"W37, 2020"
Romania,4/21/2020,498,20,279,"W38, 2020"
Romania,4/22/2020,524,26,271,"W39, 2020"
Romania,4/23/2020,545,21,385,"W40, 2020"
Romania,4/24/2020,567,22,427,"W41, 2020"
Romania,4/25/2020,601,34,489,"W42, 2020"
Romania,4/26/2020,619,18,601,"W43, 2020"
Romania,4/27/2020,641,22,776,"W44, 2020"
Romania,4/28/2020,663,22,970,"W45, 2020"
Romania,4/29/2020,693,30,1086,"W46, 2020"
Romania,4/30/2020,717,24,1116,"W47, 2020"
Romania,5/1/2020,744,27,1164,"W48, 2020"
Romania,5/2/2020,771,27,1072,"W49, 2020"
Romania,5/3/2020,790,19,1021,"W50, 2020"
Romania,5/4/2020,818,28,943,"W51, 2020"
Romania,5/5/2020,841,23,855,"W52, 2020"
Romania,5/6/2020,864,23,643,"W01, 2021"
Romania,5/7/2020,888,24,625,"W02, 2021"
Romania,5/8/2020,923,35,519,"W03, 2021"
Romania,5/9/2020,939,16,551,"W04, 2021"
Romania,5/10/2020,961,22,570,"W05, 2021"
Romania,5/11/2020,982,21,525,"W06, 2021"
Romania,5/12/2020,1002,20,459,"W07, 2021"
Romania,5/13/2020,1036,34,508,"W08, 2021"
Romania,5/14/2020,1053,17,517,"W09, 2021"
Romania,5/15/2020,1070,17,568,"W10, 2021"
Romania,5/16/2020,1094,24,625,"W11, 2021"
Romania,5/17/2020,1107,13,842,"W12, 2021"
Romania,5/18/2020,1120,13,955,"W13, 2021"
Romania,5/19/2020,1137,17,1059,"W14, 2021"
Romania,5/20/2020,1147,10,1067,"W15, 2021"
Romania,5/21/2020,1156,9,1143,"W16, 2021"
Romania,5/22/2020,1166,10,1028,"W17, 2021"
Romania,5/23/2020,1176,10,739,"W18, 2021"
Romania,5/24/2020,1185,9,598,"W19, 2021"
Romania,5/25/2020,1205,20,469,"W20, 2021"
Romania,5/26/2020,1216,11,354,"W21, 2021"
Romania,5/27/2020,1227,11,368,"W22, 2021"
Romania,5/28/2020,1235,8,1032,"W23, 2021"
Romania,5/29/2020,1248,13,584,"W24, 2021"
Romania,5/30/2020,1259,11,656,"W25, 2021"
Romania,5/31/2020,1266,7,1090,"W26, 2021"
Romania,6/1/2020,1276,10,307,"W27, 2021"
Romania,6/2/2020,1288,12,77,"W28, 2021"
Romania,6/3/2020,1296,8,19,"W29, 2021"
Romania,6/4/2020,1305,9,11,"W30, 2021"
