Romania,2/26/2020,,16.67,16.67,"W09, 2020"
,,,,,
Romania,2/27/2020,,16.67,23.41428571,"W10, 2020"
,,,,,
Romania,2/28/2020,,16.67,56.34571429,"W11, 2020"
,,,,,
Romania,2/29/2020,,16.67,67.85571429,"W12, 2020"
,,,,,
Romania,3/1/2020,,16.67,80.28857143,"W13, 2020"
,,,,,
Romania,3/2/2020,,16.67,87.04,"W14, 2020"
,,,,,
Romania,3/3/2020,,16.67,87.04,"W15, 2020"
,,,,,
Romania,3/4/2020,,16.67,87.04,"W16, 2020"
,,,,,
Romania,3/5/2020,,16.67,87.04,"W17, 2020"
,,,,,
Romania,3/6/2020,,16.67,87.04,"W18, 2020"
,,,,,
Romania,3/7/2020,,16.67,84.65714286,"W19, 2020"
,,,,,
Romania,3/8/2020,,30.56,76.58571429,"W20, 2020"
,,,,,
Romania,3/9/2020,,33.33,75,"W21, 2020"
,,,,,
Romania,3/10/2020,,33.33,69.44428571,"W22, 2020"
,,,,,
Romania,3/11/2020,,44.44,53.7,"W23, 2020"
,,,,,
Romania,3/12/2020,,58.33,52.90857143,"W24, 2020"
,,,,,
Romania,3/13/2020,,58.33,41.67,"W25, 2020"
,,,,,
Romania,3/14/2020,,58.33,41.67,"W26, 2020"
,,,,,
Romania,3/15/2020,,58.33,41.27285714,"W27, 2020"
,,,,,
Romania,3/16/2020,,58.33,42.59,"W28, 2020"
,,,,,
Romania,3/17/2020,,58.33,42.59,"W29, 2020"
,,,,,
Romania,3/18/2020,,58.33,42.59,"W30, 2020"
,,,,,
Romania,3/19/2020,,61.11,42.59,"W31, 2020"
,,,,,
Romania,3/20/2020,,61.11,42.59,"W32, 2020"
,,,,,
Romania,3/21/2020,,69.44,42.59,"W33, 2020"
,,,,,
Romania,3/22/2020,,75,42.59,"W34, 2020"
,,,,,
Romania,3/23/2020,,75,42.59,"W35, 2020"
,,,,,
Romania,3/24/2020,,75,44.97285714,"W36, 2020"
,,,,,
Romania,3/25/2020,,78.7,44.84142857,"W37, 2020"
,,,,,
Romania,3/26/2020,,78.7,43.52,"W38, 2020"
,,,,,
Romania,3/27/2020,,78.7,43.52,"W39, 2020"
,,,,,
Romania,3/28/2020,,78.7,43.52,"W40, 2020"
,,,,,
Romania,3/29/2020,,78.7,44.70571429,"W41, 2020"
,,,,,
Romania,3/30/2020,,81.48,45.89571429,"W42, 2020"
,,,,,
Romania,3/31/2020,,87.04,54.63,"W43, 2020"
,,,,,
Romania,4/1/2020,,87.04,54.63,"W44, 2020"
,,,,,
Romania,4/2/2020,,87.04,58.07,"W45, 2020"
,,,,,
Romania,4/3/2020,,87.04,69.57857143,"W46, 2020"
,,,,,
Romania,4/4/2020,,87.04,76.85,"W47, 2020"
,,,,,
Romania,4/5/2020,,87.04,76.85,"W48, 2020"
,,,,,
Romania,4/6/2020,,87.04,76.85,"W49, 2020"
,,,,,
Romania,4/7/2020,,87.04,76.85,"W50, 2020"
,,,,,
Romania,4/8/2020,,87.04,76.85,"W51, 2020"
,,,,,
Romania,4/9/2020,,87.04,76.85,"W52, 2020"
,,,,,
Romania,4/10/2020,,87.04,76.85,"W01, 2021"
,,,,,
Romania,4/11/2020,,87.04,76.85,"W02, 2021"
,,,,,
Romania,4/12/2020,,87.04,76.85,"W03, 2021"
,,,,,
Romania,4/13/2020,,87.04,76.85,"W04, 2021"
,,,,,
Romania,4/14/2020,,87.04,76.85,"W05, 2021"
,,,,,
Romania,4/15/2020,,87.04,76.85,"W06, 2021"
,,,,,
Romania,4/16/2020,,87.04,72.88142857,"W07, 2021"
,,,,,
Romania,4/17/2020,,87.04,67.32714286,"W08, 2021"
,,,,,
Romania,4/18/2020,,87.04,73.15,"W09, 2021"
,,,,,
Romania,4/19/2020,,87.04,73.15,"W10, 2021"
,,,,,
Romania,4/20/2020,,87.04,70.50428571,"W11, 2021"
,,,,,
Romania,4/21/2020,,87.04,63.89,"W12, 2021"
,,,,,
Romania,4/22/2020,,87.04,63.89,"W13, 2021"
,,,,,
Romania,4/23/2020,,87.04,63.89,"W14, 2021"
,,,,,
Romania,4/24/2020,,87.04,63.89,"W15, 2021"
,,,,,
Romania,4/25/2020,,87.04,63.89,"W16, 2021"
,,,,,
Romania,4/26/2020,,87.04,63.89,"W17, 2021"
,,,,,
Romania,4/27/2020,,87.04,63.89,"W18, 2021"
,,,,,
Romania,4/28/2020,,87.04,63.89,"W19, 2021"
,,,,,
Romania,4/29/2020,,87.04,51.32142857,"W20, 2021"
,,,,,
Romania,4/30/2020,,87.04,48.15,"W21, 2021"
,,,,,
Romania,5/1/2020,,87.04,47.03571429,"W22, 2021"
,,,,,
Romania,5/2/2020,,87.04,40.20857143,"W23, 2021"
,,,,,
Romania,5/3/2020,,87.04,40.02,"W24, 2021"
,,,,,
Romania,5/4/2020,,87.04,39.89428571,"W25, 2021"
,,,,,
Romania,5/5/2020,,87.04,39.79571429,"W26, 2021"
,,,,,
Romania,5/6/2020,,87.04,37.61428571,"W27, 2021"
,,,,,
Romania,5/7/2020,,87.04,37.21,"W28, 2021"
,,,,,
Romania,5/8/2020,,87.04,37.16285714,"W29, 2021"
,,,,,
Romania,5/9/2020,,87.04,37.11857143,"W30, 2021"
,,,,,
Romania,5/10/2020,,87.04,37.07142857,"W31, 2021"
,,,,,
Romania,5/11/2020,,78.7,41.79,"W32, 2021"
,,,,,
Romania,5/12/2020,,78.7,53.65428571,"W33, 2021"
,,,,,
Romania,5/13/2020,,78.7,53.61,"W34, 2021"
,,,,,
